Playlist Name,Track Name,Artist Name,Album Name,Duration (ms),Popularity,Release Date
4oeP3PbakXBlj8tPh3nEPx,Evangelion,Lelo,Evangelion,129832,44,2024-12-06
4oeP3PbakXBlj8tPh3nEPx,Drank Flow (feat. Baby Smoove) - Remix,"Guapo, Baby Smoove",GUAPO EP IV,202135,29,2024-11-12
4oeP3PbakXBlj8tPh3nEPx,Junk Shop,Helvetia,Helvetia's Junk Shop,236840,52,2009-09-13
4oeP3PbakXBlj8tPh3nEPx,Teen Spirit Online,echstacy,Teen Spirit Online,133397,32,2023-12-08
4oeP3PbakXBlj8tPh3nEPx,HOODRAT,Kenny Mason,Angel Eyes,150239,50,2024-11-20
4oeP3PbakXBlj8tPh3nEPx,ANOTHA LATE NITE (with 454),"Denzel Curry, 454",ANOTHA LATE NITE (with 454),176100,37,2024-11-13
4oeP3PbakXBlj8tPh3nEPx,Titania,Tequila Mockingbird,Titania,56791,3,2024-05-31
4oeP3PbakXBlj8tPh3nEPx,Royal Rumble!,"Rozeyy, hako",##W8ONME,144102,17,2024-11-25
4oeP3PbakXBlj8tPh3nEPx,She Wanna Be,Dc2trill,She Wanna Be,115471,42,2024-12-02
4oeP3PbakXBlj8tPh3nEPx,COLE PIMP (with Ty Dolla $ign & Juicy J),"Denzel Curry, Ty Dolla $ign, Juicy J",KING OF THE MISCHIEVOUS SOUTH,218821,49,2024-11-15
4oeP3PbakXBlj8tPh3nEPx,Blush,Some Gorgeous Accident,The Lovers Of Their Opposites,294173,10,2017-12-08
4oeP3PbakXBlj8tPh3nEPx,Butterflies,"TV Girl, George Clanton, Jordana",Fauxllennium,250624,57,2024-12-02
4oeP3PbakXBlj8tPh3nEPx,BROKEN MIRRORS,hako,BROKEN MIRRORS,154863,38,2024-11-27
4oeP3PbakXBlj8tPh3nEPx,Cooln (feat. Babychiefdoit & PlaqueBoyMax),"Nino Paid, BabyChiefDoit, PlaqueBoyMax",Cooln (feat. Babychiefdoit & PlaqueBoyMax),111432,57,2024-12-11
4oeP3PbakXBlj8tPh3nEPx,FIRST ROUND,Draft Day,FIRST ROUND,101052,40,2024-12-13
4oeP3PbakXBlj8tPh3nEPx,Teenage Dirtbag,Wheatus,Wheatus,241666,76,1999-02-15
4oeP3PbakXBlj8tPh3nEPx,mole,lots of hands,fantasy,180000,34,2023-07-01
